Lobby.AccountWelcome,"Welkom, {0}"
Lobby.QuitGameLabel,Sluit Spel
Lobby.SignOutLabel,Afmelden
Lobby.PortraitWebTitle, De belasting van het Web
Lobby.PortraitWebSubtitle, Voer een geldige URL
Lobby.Leaderboard, Klassement
Lobby.ProfilesSearchTitle, Speler Zoeken
Lobby.ProfilesSearchSubTitle, Ingang de naam van de speler
Lobby.HasConnected,{0} is aangesloten
Lobby.HasDisconnected,{0} heeft verbroken
Lobby.SignUpFailed,Aanmelding is mislukt
Lobby.NameInputTitle,Gebruikersnaam
Lobby.NameInputSubTitle,Voer uw alias.
Lobby.OfflineMode,Offline Spelen
Lobby.LoadFailed,Verbindingsfout
Lobby.AccountLoadFailed,Fout Melden
Lobby.ProfileLoadFailed,Fout Bij Het Laden Profiel
Lobby.LoadFailedSub,Er is een fout opgetreden bij het verbinden met de database.
Lobby.Retry,Probeer opnieuw
Lobby.Cancel,Annuleren
Lobby.Accept,Accepteren
Lobby.Reject,Weigeren
Lobby.NameInvalid,De gebruikersnaam is ongeldig
Lobby.SoundLabel,Geluid Volume
Lobby.MusicLabel,Muziek Volume
Lobby.UIVolumeLabel,UI Volume
Lobby.UpdateTitle,Link / Update-Account
Lobby.UpdateLabel,Update
Lobby.CensorLabel,De Censor
Lobby.CensorTitle,Filter Slechte Taal
Lobby.InNetworkError,Al in een netwerk
Lobby.ConnectionFailure,De Verbinding Is Mislukt
Lobby.MasterServerFailure,MasterServer Falen
Lobby.PortInUse,Netwerk poort in gebruik is.
Lobby.HostFull,Host is vol.
Lobby.ConnectionLostText,Verbinding Verbroken
Lobby.ConnectionLostExplaination,De host heeft een verbinding verbroken het spel
Lobby.TimeoutError,Time-out error. Probeer het opnieuw.
Lobby.CanNotHost,Kan niet hosten.
Lobby.NoGamesFound,Kon het niet vinden een spel te nodigen
Lobby.RegistrationFailedGameName,De Registratie Is Mislukt : Ongeldig Spelnaam
Lobby.RegistrationFailedGameType,De Registratie Is Mislukt : Ongeldig GameType
Lobby.RegistrationFailedNoServer,De Registratie Is Mislukt : Geen Server
Lobby.Connected,Verbonden is met een Netwerk
Lobby.Disconnected,Verbinding verbroken
Lobby.Offline,De Offline Modus. Kan geen verbinding maken.
Lobby.Unauthenticated,Niet ondertekend. Toegang geweigerd.
Lobby.UpdateSuccess,Account is bijgewerkt. Dank u !
Lobby.ServerFull,Server Is Vol. Probeer weer een beetje in.
Lobby.NetworkFull,Het Netwerk Is Volledig. Probeer weer een beetje in.
Lobby.CreateGameFailed,Er kan geen spel.
Lobby.JoinGameFailed,Failed to join game.
Lobby.SecurityError,Schending Van De Veiligheid. Toegang geweigerd.
Lobby.InvalidRegion,Ongeldige Regio
Lobby.InvalidAuthentication,Ongeldige Verificatie. Toegang geweigerd.
Lobby.InternalError,Interne Fout
