Lobby.AccountWelcome,"欢迎{0}"
Lobby.QuitGameLabel,退出比赛
Lobby.SignOutLabel,在这签字
Lobby.PortraitWebTitle, 堆从网
Lobby.PortraitWebSubtitle, 进入一个有效的统一资源定位地址
Lobby.Leaderboard, 领导人委员会
Lobby.ProfilesSearchTitle, 搜索队员
Lobby.ProfilesSearchSubTitle, 投入运动员的名字
Lobby.HasConnected,{0}联系
Lobby.HasDisconnected,{0}打不通
Lobby.SignUpFailed,Signup没有
Lobby.NameInputTitle,用户名
Lobby.NameInputSubTitle,投入你的化名。
Lobby.OfflineMode,发挥离线
Lobby.LoadFailed,方面的错误
Lobby.AccountLoadFailed,在签署的错误
Lobby.ProfileLoadFailed,错误的装载简介
Lobby.LoadFailedSub,有一个错误连接的数据库。
Lobby.Retry,重审
Lobby.Cancel,取消
Lobby.Accept,接受
Lobby.Reject,拒绝
Lobby.NameInvalid,用户名是无效的
Lobby.SoundLabel,声音小一点
Lobby.MusicLabel,音量
Lobby.UIVolumeLabel,UI量
Lobby.UpdateTitle,联系/新帐户
Lobby.UpdateLabel,最新情况
Lobby.CensorLabel,审查
Lobby.CensorTitle,过滤器坏的语言
Lobby.InNetworkError,已经在网络
Lobby.ConnectionFailure,一方面失败
Lobby.MasterServerFailure,MasterServer失败
Lobby.PortInUse,网络的港口在使用中。
Lobby.HostFull,东道国是充分的。
Lobby.ConnectionLostText,一方面失去了
Lobby.ConnectionLostExplaination,东道国已经切断了比赛
Lobby.TimeoutError,暂停的错误。 再试一次。
Lobby.CanNotHost,不可能的东道国。
Lobby.NoGamesFound,找不到比赛要参加
Lobby.RegistrationFailedGameName,登记的失败：无效GameName
Lobby.RegistrationFailedGameType,登记的失败：无效GameType
Lobby.RegistrationFailedNoServer,登记的失败：不服务器
Lobby.Connected,连接网络
Lobby.Disconnected,断线
Lobby.Offline,离线模式。 不能联系的。
Lobby.Unauthenticated,没有签署。 拒绝访问
Lobby.UpdateSuccess,虑到更新。 谢谢你!
Lobby.ServerFull,服务器是充分的。 再试试再给他点。
Lobby.NetworkFull,网络是充分的。 再试试再给他点。
Lobby.CreateGameFailed,没有创造的游戏。
Lobby.JoinGameFailed,未加入游戏。
Lobby.SecurityError,安全的侵犯。 拒绝访问
Lobby.InvalidRegion,无效的区域
Lobby.InvalidAuthentication,无效的认证。 拒绝访问
Lobby.InternalError,内部的错误
