LobbyViews.Confirm,确认
LobbyViews.Reject,拒绝
LobbyViews.WelcomeTitle,欢迎
LobbyViews.SignIn,签
LobbyViews.SignUp,签了
LobbyViews.Recover,收回的账户
LobbyViews.Busy,装货...
LobbyViews.Username,用户名
LobbyViews.Email,电子邮件
LobbyViews.Password,密码
LobbyViews.Token,象征性
LobbyViews.Update,更新帐户
LobbyViews.Submit,提交
LobbyViews.Back,回
LobbyViews.Cancel,取消
LobbyViews.GoGetToken,审定象征性的电邮给你
LobbyViews.SkipSignup,跳过Signup
LobbyViews.PortraitTitle,选择你的肖像画
LobbyViews.LoadFromWeb,堆从网
LobbyViews.Gravatar,Gravatar
LobbyViews.Options,备选办法
LobbyViews.Levels,一级的甄选
LobbyViews.RandomLevel,随便一级
LobbyViews.Search,搜查
LobbyViews.Leaderboard,下排行榜
LobbyViews.Multiplayer,在网上
LobbyViews.StartHost,开始的东道主
LobbyViews.Disconnect,切断
LobbyViews.FindGame,发现游戏
LobbyViews.Self,自我
LobbyViews.Host,东道国
LobbyViews.NoGames,不要玩游戏了。 快开始!
LobbyViews.Offline,离线模式。 没有数据。
LobbyViews.Continue,继续
LobbyViews.RestartLevel,RestartLevel
LobbyViews.QuitLevel,QuitLevel
LobbyViews.ConnectionLost,一方面失去了
LobbyViews.ConnectionLostInfo,关于比赛的东道主是丧失。
LobbyViews.Migrating,迁徙到新的东道...
LobbyViews.ReturnToLobby,回到大厅
